Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Android/android.view.ViewGroup - To Payment""), 0)",,,,2023-05-31 18:48:08,2023-05-31 18:48:08,0.610s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Card - Full Name""), ""Rebecca Winter"", 0)",,,,2023-05-31 18:48:08,2023-05-31 18:48:11,2.359s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Card - Card Number""), ""325812657568789"", 0)",,,,2023-05-31 18:48:11,2023-05-31 18:48:12,1.150s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Card - Expiration Date""), ""03/25"", 0)",,,,2023-05-31 18:48:12,2023-05-31 18:48:13,1.646s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Card - Security Code""), ""123"", 0)",,,,2023-05-31 18:48:13,2023-05-31 18:48:15,1.110s,PASSED
"tap(findTestObject(""Android/android.widget.TextView - Review Order""), 0)",,,,2023-05-31 18:48:15,2023-05-31 18:48:15,0.643s,PASSED
"tap(findTestObject(""Android/android.widget.TextView - Place Order""), 0)",,,,2023-05-31 18:48:15,2023-05-31 18:48:17,1.479s,PASSED
"takeScreenshot(""D:\Program Files\Katalon\Katalon Projects\TaskDay8_KatalonMobileTesting_DendyIndriyoSaputro\Screenshot\screenshot3.png"", STOP_ON_FAILURE)",,,,2023-05-31 18:48:17,2023-05-31 18:48:17,0.617s,PASSED
"tap(findTestObject(""Android/android.widget.TextView - Continue Shopping""), 0)",,,,2023-05-31 18:48:17,2023-05-31 18:48:18,0.608s,PASSED
delay(2),,,,2023-05-31 18:48:18,2023-05-31 18:48:20,2.016s,PASSED
closeApplication(),,,,2023-05-31 18:48:20,2023-05-31 18:48:20,0.558s,PASSED
,,,,,,,
Test Cases/TC_03_Catalog sorting,,,,2023-05-31 18:48:20,2023-05-31 18:48:41,20.850s,PASSED
"startApplication(APK, true)",,,,2023-05-31 18:48:21,2023-05-31 18:48:31,10.624s,PASSED
"tap(findTestObject(""Object Repository/Android/android.view.ViewGroup - Sort Icon""), 0)",,,,2023-05-31 18:48:31,2023-05-31 18:48:32,0.251s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Name - Ascending""), 0)",,,,2023-05-31 18:48:32,2023-05-31 18:48:33,0.931s,PASSED
"tap(findTestObject(""Android/android.view.ViewGroup - Sort Icon""), 0)",,,,2023-05-31 18:48:33,2023-05-31 18:48:35,2.221s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Name - Descending""), 0)",,,,2023-05-31 18:48:35,2023-05-31 18:48:35,0.194s,PASSED
"tap(findTestObject(""Android/android.view.ViewGroup - Sort Icon""), 0)",,,,2023-05-31 18:48:35,2023-05-31 18:48:36,0.920s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Price - Ascending""), 0)",,,,2023-05-31 18:48:36,2023-05-31 18:48:37,0.990s,PASSED
"tap(findTestObject(""Android/android.view.ViewGroup - Sort Icon""), 0)",,,,2023-05-31 18:48:37,2023-05-31 18:48:38,0.911s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Price - Descending""), 0)",,,,2023-05-31 18:48:38,2023-05-31 18:48:39,0.999s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-05-31 18:48:39,2023-05-31 18:48:41,2.009s,PASSED
closeApplication(),,,,2023-05-31 18:48:41,2023-05-31 18:48:41,0.575s,PASSED
